job_id,cv_id,score,company,position,cv_category,cv_industry
1,1825,53.74,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,1581,62.73,Apple,Apple Solutions Consultant,FINANCE,FINANCE
1,1096,61.71,Apple,Apple Solutions Consultant,SALES,SALES
1,283,58.2,Apple,Apple Solutions Consultant,INFORMATION-TECHNOLOGY,IT
1,1401,61.62,Apple,Apple Solutions Consultant,CHEF,OTHER
1,448,61.3,Apple,Apple Solutions Consultant,ADVOCATE,OTHER
1,2143,24.33,Apple,Apple Solutions Consultant,PUBLIC-RELATIONS,OTHER
1,1503,80.3,Apple,Apple Solutions Consultant,FINANCE,FINANCE
1,2374,23.3,Apple,Apple Solutions Consultant,AVIATION,OTHER
1,271,25.53,Apple,Apple Solutions Consultant,INFORMATION-TECHNOLOGY,IT
1,1854,57.07,Apple,Apple Solutions Consultant,ACCOUNTANT,OTHER
1,2102,26.46,Apple,Apple Solutions Consultant,PUBLIC-RELATIONS,OTHER
2,54,19.27,Netflix,Licensing Coordinator - Consumer Products,HR,HR
2,578,59.73,Netflix,Licensing Coordinator - Consumer Products,BUSINESS-DEVELOPMENT,SALES
2,2165,62.68,Netflix,Licensing Coordinator - Consumer Products,BANKING,FINANCE
2,900,58.57,Netflix,Licensing Coordinator - Consumer Products,FITNESS,OTHER
2,428,43.1,Netflix,Licensing Coordinator - Consumer Products,TEACHER,OTHER
2,1253,57.82,Netflix,Licensing Coordinator - Consumer Products,DIGITAL-MEDIA,OTHER
2,2119,56.46,Netflix,Licensing Coordinator - Consumer Products,PUBLIC-RELATIONS,OTHER
2,935,60.92,Netflix,Licensing Coordinator - Consumer Products,AGRICULTURE,OTHER
2,1157,60.77,Netflix,Licensing Coordinator - Consumer Products,CONSULTANT,OTHER
2,2094,45.32,Netflix,Licensing Coordinator - Consumer Products,PUBLIC-RELATIONS,OTHER
2,110,22.63,Netflix,Licensing Coordinator - Consumer Products,DESIGNER,OTHER
2,980,23.4,Netflix,Licensing Coordinator - Consumer Products,BPO,OTHER
2,1356,66.9,Netflix,Licensing Coordinator - Consumer Products,AUTOMOBILE,MANUFACTURING
2,1899,35.69,Netflix,Licensing Coordinator - Consumer Products,ACCOUNTANT,OTHER
2,1069,63.55,Netflix,Licensing Coordinator - Consumer Products,SALES,SALES
2,2456,47.75,Netflix,Licensing Coordinator - Consumer Products,AVIATION,OTHER
2,2175,41.68,Netflix,Licensing Coordinator - Consumer Products,BANKING,FINANCE
2,1475,56.36,Netflix,Licensing Coordinator - Consumer Products,FINANCE,FINANCE
2,1647,65.32,Netflix,Licensing Coordinator - Consumer Products,APPAREL,OTHER
2,2334,40.66,Netflix,Licensing Coordinator - Consumer Products,ARTS,OTHER
2,2391,65.59,Netflix,Licensing Coordinator - Consumer Products,AVIATION,OTHER
2,2323,38.83,Netflix,Licensing Coordinator - Consumer Products,ARTS,OTHER
2,36,36.71,Netflix,Licensing Coordinator - Consumer Products,HR,HR
2,858,43.13,Netflix,Licensing Coordinator - Consumer Products,FITNESS,OTHER
2,729,40.42,Netflix,Licensing Coordinator - Consumer Products,HEALTHCARE,HEALTHCARE
2,886,58.79,Netflix,Licensing Coordinator - Consumer Products,FITNESS,OTHER
2,1231,38.32,Netflix,Licensing Coordinator - Consumer Products,DIGITAL-MEDIA,OTHER
2,1079,55.42,Netflix,Licensing Coordinator - Consumer Products,SALES,SALES
2,1707,43.15,Netflix,Licensing Coordinator - Consumer Products,ENGINEERING,MANUFACTURING
2,371,40.21,Netflix,Licensing Coordinator - Consumer Products,TEACHER,OTHER
2,689,37.42,Netflix,Licensing Coordinator - Consumer Products,HEALTHCARE,HEALTHCARE
2,1769,43.05,Netflix,Licensing Coordinator - Consumer Products,ENGINEERING,MANUFACTURING
2,877,40.19,Netflix,Licensing Coordinator - Consumer Products,FITNESS,OTHER
2,1961,58.13,Netflix,Licensing Coordinator - Consumer Products,CONSTRUCTION,CONSTRUCTION
2,1080,63.8,Netflix,Licensing Coordinator - Consumer Products,SALES,SALES
2,1795,45.2,Netflix,Licensing Coordinator - Consumer Products,ENGINEERING,MANUFACTURING
2,1463,67.89,Netflix,Licensing Coordinator - Consumer Products,CHEF,OTHER
2,45,40.23,Netflix,Licensing Coordinator - Consumer Products,HR,HR
2,1097,64.73,Netflix,Licensing Coordinator - Consumer Products,SALES,SALES
2,715,64.12,Netflix,Licensing Coordinator - Consumer Products,HEALTHCARE,HEALTHCARE
2,442,38.68,Netflix,Licensing Coordinator - Consumer Products,ADVOCATE,OTHER
2,138,63.68,Netflix,Licensing Coordinator - Consumer Products,DESIGNER,OTHER
2,620,57.98,Netflix,Licensing Coordinator - Consumer Products,BUSINESS-DEVELOPMENT,SALES
2,2030,64.11,Netflix,Licensing Coordinator - Consumer Products,CONSTRUCTION,CONSTRUCTION
2,2180,59.91,Netflix,Licensing Coordinator - Consumer Products,BANKING,FINANCE
2,1569,71.61,Netflix,Licensing Coordinator - Consumer Products,FINANCE,FINANCE
2,801,59.51,Netflix,Licensing Coordinator - Consumer Products,FITNESS,OTHER
2,1913,62.8,Netflix,Licensing Coordinator - Consumer Products,ACCOUNTANT,OTHER
2,1123,58.65,Netflix,Licensing Coordinator - Consumer Products,CONSULTANT,OTHER
